Record_ID,Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Scheme_Code,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Beneficiaries_Target,Beneficiaries_Covered,Status,Audit_Remarks,Nodal_Officer_Contact
GFU00457,2021-22,2023-07-02,Tamil Nadu,Salem,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),Gram Panchayat,371.47,210.05,187.8,89.41,280,185.0,3323,2184.0,Ongoing,Work completed as per schedule,Lakshmi Yadav - Block Development Officer - lakshmi.yadav@nic.in
GFU00882,2023-24,2021-07-07,Madhya Pradesh,Bhopal,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),Urban Local Body (ULB),85.68,84.61,0.0,0.0,223,0.0,1900,0.0,Not Started,Fund utilization certificate pending,Anjali Mishra - Assistant Engineer - anjali.mishra@nic.in
GFU00531,2024-25,2022-05-08,Madhya Pradesh,Ujjain,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),State Nodal Agency,223.12,218.39,0.0,0.0,366,0.0,3833,0.0,Not Started,Delay due to - land acquisition dispute,Anjali Mishra - Block Development Officer - anjali.mishra@nic.in
GFU00181,2024-25,2024-04-13,Gujarat, Rajkot,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,Gram Panchayat,42.64,28.2,21.49,76.21,223,147.0,3463,2292.0,Ongoing,Delay due to - land acquisition dispute,Lakshmi Chatterjee - District Programme Coordinator - lakshmi.chatterjee@nic.in
GFU00450,2022-23,2023-06-02,Tamil Nadu,Chennai,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,671.81,645.8,613.68,95.03,317,317.0,104,101.0,Completed,,Lakshmi Kumar - Block Development Officer - lakshmi.kumar@nic.in
GFU00753,2023-24,2024-04-04,Gujarat,Surat,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),Urban Local Body (ULB),475.04,360.97,157.44,43.62,318,85.0,344,95.0,Delayed,  Beneficiary list under revision  ,Anjali Rao - District Programme Coordinator - anjali.rao@nic.in
GFU00810,2024-25,2022-08-31,Karnataka,Belagavi,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),State Nodal Agency,39.82,33.3,12.15,36.49,82,18.0,2108,438.0,Delayed,Material procurement in progress,Ganesh Sharma - Block Development Officer - ganesh.sharma@nic.in
GFU00267,2022-23,2021-09-28,Uttar Pradesh, Kanpur,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),Gram Panchayat,577.28,439.06,346.51,78.92,343,249.0,220,159.0,Delayed,Awaiting third-party audit clearance,Ramesh Naik - Assistant Engineer - ramesh.naik@nic.in
GFU00059,2022-23,2023-02-19,Kerala, Kozhikode,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,PMAY-G,Centrally Sponsored (60:40),NGO / Partner Organisation,262.54,248.37,147.92,59.56,458,260.0,1610,900.0,Ongoing,Utilization certificate submitted and verified,Ramesh Kumar - District Programme Coordinator - ramesh.kumar@nic.in
GFU00247,2021-22,2023-02-23,Madhya Pradesh,Ujjain,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,318.83,220.49,218.41,99.06,382,381.0,4028,3793.0,Completed,Delay due to - land acquisition dispute,Kavita Patel - Block Development Officer - kavita.patel@nic.in
GFU00129,2024-25,2024-09-23,Tamil Nadu,Salem,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,589.71,489.56,230.7,47.12,211,56.0,1968,494.0,Ongoing,Material procurement in progress,Manoj Naik - Assistant Engineer - manoj.naik@nic.in
GFU00693,2023-24,2023-08-06,West Bengal,Kolkata ,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),Urban Local Body (ULB),375.43,362.77,355.4,97.97,353,352.0,2037,2001.0,Completed,  Work completed as per schedule  ,Ramesh Rao - District Collector Office - ramesh.rao@nic.in
GFU00607,2024-25,2022-12-04,Kerala,Thiruvananthapuram,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),Urban Local Body (ULB),397.38,384.67,345.32,89.77,480,479.0,498,517.0,Completed,Fund utilization certificate pending,Meera Iyer - District Collector Office - meera.iyer@nic.in
GFU00832,2024-25,2024-05-03,Madhya Pradesh,indore,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),Urban Local Body (ULB),580.3,474.41,,,348,16.0,728,34.0,Delayed,Utilization certificate submitted and verified,Lakshmi Naik - District Programme Coordinator - lakshmi.naik@nic.in
GFU00688,2022-23,2022-07-18,Gujarat,Vadodara,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),Gram Panchayat,258.19,246.25,126.48,51.36,232,,4333,992.0,Ongoing,Fund utilization certificate pending,Lakshmi Iyer - Scheme Nodal Officer - lakshmi.iyer@nic.in
GFU00088,2021-22,2021-12-06,Tamil Nadu,Madurai,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),State Nodal Agency,751.56,458.24,447.08,97.56,247,245.0,1086,1062.0,Completed,  No remarks recorded  ,Sunita Iyer - Assistant Engineer - sunita.iyer@nic.in
GFU00764,2022-23,2022-07-09,Rajasthan,Jodhpur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,PMFBY,Central Sector,District Panchayat / Zilla Parishad,772.41,466.3,,,408,197.0,3062,1503.0,Ongoing,  Delay due to - contractor mobilisation issue  ,Anjali Patel - Assistant Engineer - anjali.patel@nic.in
GFU00814,2024-25,2021-07-10,Kerala,Kochi,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),NGO / Partner Organisation,232.6,154.67,139.86,90.42,32,31.0,1838,1624.0,Completed,Delay due to - contractor mobilisation issue,Meera Chatterjee - Assistant Engineer - meera.chatterjee@nic.in
GFU00579,2024-25,2024-07-16,Madhya Pradesh,Ujjain,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,Gram Panchayat,707.45,669.81,592.82,88.51,471,470.0,133,133.0,Completed,,Ganesh Kumar - District Collector Office - ganesh.kumar@nic.in
GFU00534,2023-24,2022-11-13,Kerala,Kollam,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,Gram Panchayat,205.66,196.16,116.46,59.37,174,172.0,1734,1719.0,Ongoing,Delay due to - heavy monsoon rainfall,Ramesh Naik - District Programme Coordinator - ramesh.naik@nic.in
GFU00650,2021-22,2023-11-07,Maharashtra,Kolhapur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,District Panchayat / Zilla Parishad,138.77,115.72,102.18,88.3,129,117.0,3313,2750.0,Delayed,No remarks recorded,Sanjay Nair - Block Development Officer - sanjay.nair@nic.in
GFU01000,2024-25,2022-12-26,Tamil Nadu,Salem,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),NGO / Partner Organisation,425.5,295.02,286.98,97.27,395,395.0,479,462.0,Completed,Delay due to - contractor mobilisation issue,Pooja Kumar - Block Development Officer - pooja.kumar@nic.in
GFU00659,2023-24,2021-11-11,Rajasthan,Jaipur,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,MGNREGS,Centrally Sponsored (60:40),Urban Local Body (ULB),325.46,177.11,174.22,98.37,13,12.0,3129,2769.0,Completed,Utilization certificate submitted and verified,Arvind Patel - Scheme Nodal Officer - arvind.patel@nic.in
GFU00803,2023-24,2021-06-12,West Bengal,Siliguri,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,497.95,405.97,349.19,86.01,453,453.0,1128,1133.0,Completed,No remarks recorded,Arvind Naik - District Collector Office - arvind.naik@nic.in
GFU00256,2022-23,2023-03-26,Tamil Nadu,Chennai,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),Gram Panchayat,230.5,215.26,208.92,97.05,468,466.0,1237,1142.0,Completed,Delay due to - heavy monsoon rainfall,Anjali Yadav - Block Development Officer - anjali.yadav@nic.in
GFU00692,2022-23,2024-09-30,Gujarat,Ahmedabad,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,322.36,172.67,155.6,90.11,313,313.0,304,314.0,Completed,Delay due to - contractor mobilisation issue,Kavita Patel - District Collector Office - kavita.patel@nic.in
GFU00638,2021-22,2023-08-07,Tamil Nadu,Tiruchirappalli,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),NGO / Partner Organisation,320.45,167.85,148.41,88.42,432,431.0,3314,3138.0,Completed,Delay due to - land acquisition dispute,Ashok Mishra - Scheme Nodal Officer - ashok.mishra@nic.in
GFU00713,2022-23,2022-12-04,Uttar Pradesh,Lucknow,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,MGNREGS,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,168.18,90.11,49.43,54.86,498,423.0,4639,3661.0,Delayed,  Beneficiary list under revision  ,Ashok Singh - District Programme Coordinator - ashok.singh@nic.in
GFU00616,2024-25,2024-02-27,Kerala,Kochi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,432.8,390.96,230.23,58.89,14,1.0,2805,192.0,Delayed,Fund utilization certificate pending,Arvind Rao - Assistant Engineer - arvind.rao@nic.in
GFU00707,2024-25,2021-08-29,Maharashtra,Kolhapur,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),Urban Local Body (ULB),530.48,451.29,421.0,93.29,298,297.0,1815,1817.0,Completed,Delay due to - land acquisition dispute,Vinod Verma - Assistant Engineer - vinod.verma@nic.in
GFU00086,2024-25,2023-01-15,Maharashtra,Kolhapur,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),Gram Panchayat,684.93,422.09,391.66,92.79,37,34.0,530,,Ongoing,,Vinod Yadav - District Collector Office - vinod.yadav@nic.in
GFU00891,2023-24,2022-09-28,Karnataka,Belagavi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),State Nodal Agency,343.13,176.48,160.3,90.83,462,462.0,1936,1938.0,Completed,Delay due to - land acquisition dispute,Ganesh Chatterjee - Scheme Nodal Officer - ganesh.chatterjee@nic.in
GFU00702,2021-22,2022-12-15,West Bengal,Durgapur,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),Gram Panchayat,98.79,70.51,29.02,41.16,177,153.0,4651,3920.0,Ongoing,Awaiting third-party audit clearance,Sanjay Mishra - Assistant Engineer - sanjay.mishra@nic.in
GFU00248,2024-25,2024-10-09,Bihar,Darbhanga ,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,643.54,435.82,145.02,33.28,347,196.0,1768,916.0,Ongoing,Fund utilization certificate pending,Pooja Das - District Collector Office - pooja.das@nic.in
GFU00855,2022-23,2022-07-09,Uttar Pradesh,Varanasi,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),NGO / Partner Organisation,53.07,47.23,45.99,97.37,470,468.0,1659,1497.0,Completed,Utilization certificate submitted and verified,Deepa Das - Assistant Engineer - deepa.das@nic.in
GFU00529,2023-24,2023-09-29,West Bengal,Siliguri,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,PMJAY,Centrally Sponsored (60:40),Gram Panchayat,128.51,114.53,105.28,91.92,429,80.0,475,86.0,Ongoing,Delay due to - heavy monsoon rainfall,Lakshmi Singh - Assistant Engineer - lakshmi.singh@nic.in
GFU00196,2024-25,2024-05-23,West Bengal,howrah,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,PMFBY,Central Sector,NGO / Partner Organisation,625.71,379.88,241.89,63.68,123,21.0,874,,Ongoing,No remarks recorded,Kavita Reddy - Assistant Engineer - kavita.reddy@nic.in
GFU00949,2023-24,2022-09-18,Kerala,Kozhikode,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),State Nodal Agency,562.14,285.0,207.18,72.69,137,25.0,1978,,Delayed,Fund utilization certificate pending,Ashok Chatterjee - Assistant Engineer - ashok.chatterjee@nic.in
GFU00601,2024-25,2022-05-21,Bihar,Muzaffarpur ,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),Urban Local Body (ULB),730.31,474.51,402.79,84.89,304,110.0,2757,993.0,Ongoing,Awaiting third-party audit clearance,Vinod Das - Assistant Engineer - vinod.das@nic.in
GFU00360,2021-22,2021-10-30,Tamil Nadu,salem,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,259.19,233.05,198.33,85.1,332,331.0,2113,1938.0,Completed,  Awaiting third-party audit clearance  ,Sanjay Nair - District Collector Office - sanjay.nair@nic.in
GFU00848,2021-22,2022-05-27,Tamil Nadu,Tiruchirappalli,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,PMAY-G,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,713.69,366.69,335.24,91.42,445,443.0,1142,1113.0,Completed,  Delay due to - heavy monsoon rainfall  ,Vinod Patel - Assistant Engineer - vinod.patel@nic.in
GFU00762,2024-25,2021-11-12,West Bengal,Howrah,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,District Panchayat / Zilla Parishad,705.27,353.46,267.19,75.59,437,188.0,4212,1673.0,Ongoing,Delay due to - contractor mobilisation issue,Arvind Mishra - Scheme Nodal Officer - arvind.mishra@nic.in
GFU00669,2022-23,2024-04-18,West Bengal,Siliguri,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),Gram Panchayat,28.82,23.76,20.8,87.54,72,72.0,4062,3775.0,Completed,Fund utilization certificate pending,Kavita Nair - Block Development Officer - kavita.nair@nic.in
GFU00438,2024-25,2023-01-09,West Bengal,Asansol,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,619.06,471.88,189.94,40.25,372,226.0,4756,2813.0,Ongoing,Beneficiary list under revision,Ganesh Mishra - District Programme Coordinator - ganesh.mishra@nic.in
GFU00834,2021-22,2025-01-26,Maharashtra,Pune,Ministry of Health & Family Welfare,National Health Mission,NHM,Centrally Sponsored (60:40),Urban Local Body (ULB),770.35,486.62,218.14,44.83,412,380.0,2462,2093.0,Delayed,Work completed as per schedule,Manoj Mishra - District Programme Coordinator - manoj.mishra@nic.in
GFU00178,2022-23,2024-05-20,Uttar Pradesh,Meerut,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),Urban Local Body (ULB),761.37,564.02,440.95,78.18,98,74.0,2580,1880.0,Delayed,Utilization certificate submitted and verified,Ashok Reddy - District Collector Office - ashok.reddy@nic.in
GFU00084,2021-22,2024-07-07,Tamil Nadu,Chennai,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),State Nodal Agency,52.7,41.38,0.0,0.0,182,0.0,2620,0.0,Not Started,Delay due to - contractor mobilisation issue,Manoj Naik - Scheme Nodal Officer - manoj.naik@nic.in
GFU00574,2024-25,2023-03-10,Uttar Pradesh,Lucknow,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),Urban Local Body (ULB),32.95,31.97,26.51,82.92,142,71.0,2487,1165.0,Ongoing,Delay due to - contractor mobilisation issue,Deepa Iyer - Scheme Nodal Officer - deepa.iyer@nic.in
GFU00265,2022-23,2021-12-31,West Bengal,Asansol ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,Gram Panchayat,315.44,227.53,174.02,76.48,311,107.0,4655,1609.0,Delayed,Beneficiary list under revision,Pooja Rao - District Collector Office - pooja.rao@nic.in
GFU00029,2024-25,2021-08-03,Uttar Pradesh,Lucknow,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),Urban Local Body (ULB),693.7,477.17,0.0,0.0,56,0.0,3474,0.0,Not Started,No remarks recorded,Ramesh Rao - Block Development Officer - ramesh.rao@nic.in
GFU00158,2022-23,2024-08-13,Gujarat,Surat,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,319.78,213.84,175.16,81.91,21,18.0,2032,1622.0,Delayed,Beneficiary list under revision,Arvind Chatterjee - Scheme Nodal Officer - arvind.chatterjee@nic.in
GFU00028,2024-25,2023-08-30,Madhya Pradesh,Jabalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,322.39,308.52,307.57,99.69,71,70.0,2301,2302.0,Completed,Beneficiary list under revision,Arvind Sharma - District Collector Office - arvind.sharma@nic.in
GFU00049,2023-24,2023-02-01,Kerala,Thrissur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,PMKISAN,Central Sector,District Panchayat / Zilla Parishad,596.28,315.51,243.68,77.23,168,153.0,3024,2512.0,Ongoing,Material procurement in progress,Deepa Naik - Block Development Officer - deepa.naik@nic.in
GFU00239,2022-23,2023-02-24,Rajasthan,Kota,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,335.57,261.33,86.15,32.97,427,422.0,647,585.0,Ongoing,Work completed as per schedule,Deepa Yadav - District Collector Office - deepa.yadav@nic.in
GFU00194,2024-25,2024-06-30,Tamil Nadu,Salem,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,MGNREGS,Centrally Sponsored (60:40),Gram Panchayat,34.31,25.73,0.0,0.0,157,0.0,2000,0.0,Not Started,Delay due to - heavy monsoon rainfall,Meera Singh - Block Development Officer - meera.singh@nic.in
GFU00746,2024-25,2021-11-26,Uttar Pradesh,Meerut,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,PMAY-G,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,436.62,424.34,385.37,90.82,482,480.0,1241,1194.0,Completed,Beneficiary list under revision,Ganesh Mishra - Block Development Officer - ganesh.mishra@nic.in
GFU00313,2021-22,2024-02-16,Tamil Nadu,Coimbatore,Ministry of Jal Shakti,Jal Jeevan Mission,JJM,Centrally Sponsored (90:10),Gram Panchayat,694.41,603.02,436.61,72.4,137,21.0,2424,362.0,Ongoing,Delay due to - heavy monsoon rainfall,Arvind Verma - Block Development Officer - arvind.verma@nic.in
GFU00817,2023-24,2021-11-13,Rajasthan,Ajmer,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,425.05,242.35,0.0,0.0,80,0.0,2538,0.0,Not Started,Delay due to - heavy monsoon rainfall,Kavita Das - Assistant Engineer - kavita.das@nic.in
GFU00156,2023-24,2024-02-09,Gujarat,Surat,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),State Nodal Agency,263.98,135.29,127.66,94.36,35,35.0,2369,2388.0,Completed,Awaiting third-party audit clearance,Ganesh Nair - Assistant Engineer - ganesh.nair@nic.in
GFU00388,2021-22,2022-05-14,Karnataka,mangaluru,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,PMFBY,Central Sector,NGO / Partner Organisation,421.13,409.08,332.18,81.2,472,175.0,4824,1868.0,Ongoing,Fund utilization certificate pending,Pooja Mishra - District Programme Coordinator - pooja.mishra@nic.in
GFU00062,2022-23,2022-09-23,Maharashtra,nashik,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,PMFBY,Central Sector,Gram Panchayat,290.0,218.17,108.41,49.69,214,92.0,4939,2182.0,Delayed,Beneficiary list under revision,Arvind Iyer - Block Development Officer - arvind.iyer@nic.in
GFU00885,2022-23,2022-09-01,Bihar,Muzaffarpur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,PMFBY,Central Sector,State Nodal Agency,797.82,754.76,732.58,97.06,166,,892,878.0,Completed,Beneficiary list under revision,Lakshmi Reddy - Block Development Officer - lakshmi.reddy@nic.in
GFU00801,2023-24,2023-03-23,Bihar,Bhagalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),Urban Local Body (ULB),562.01,519.44,294.53,56.7,374,106.0,3342,962.0,Ongoing,  Material procurement in progress  ,Ashok Chatterjee - District Programme Coordinator - ashok.chatterjee@nic.in
GFU00624,2023-24,2021-07-21,West Bengal,Siliguri,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,SBM-G,Centrally Sponsored (60:40),State Nodal Agency,734.45,647.52,623.61,96.31,394,393.0,2555,2455.0,Completed,Utilization certificate submitted and verified,Ramesh Chatterjee - Block Development Officer - ramesh.chatterjee@nic.in
GFU00352,2023-24,2023-09-20,Tamil Nadu, Salem,Ministry of Education,Samagra Shiksha Abhiyan,SS,Centrally Sponsored (60:40),Gram Panchayat,660.81,390.49,347.04,88.87,158,158.0,3460,3237.0,Completed,Delay due to - heavy monsoon rainfall,Meera Rao - District Programme Coordinator - meera.rao@nic.in
GFU00104,2022-23,2024-10-31,Kerala,Kozhikode,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),PMPOSHAN,Centrally Sponsored (60:40),Gram Panchayat,272.3,162.79,111.39,68.43,224,49.0,4721,1018.0,Delayed,  Beneficiary list under revision  ,Ganesh Verma - Block Development Officer - ganesh.verma@nic.in
GFU00052,2021-22,2022-12-13,Karnataka,Bengaluru,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,MGNREGS,Centrally Sponsored (60:40),State Nodal Agency,724.15,576.13,566.84,98.39,66,65.0,1316,1314.0,Completed,Delay due to - contractor mobilisation issue,Ganesh Patel - District Programme Coordinator - ganesh.patel@nic.in
GFU00198,2021-22,2022-07-25,Karnataka,Hubballi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,PMGSY,Centrally Sponsored (60:40),State Nodal Agency,434.36,286.08,239.14,83.59,247,32.0,1668,222.0,Delayed,Work completed as per schedule,Lakshmi Yadav - Block Development Officer - lakshmi.yadav@nic.in
